file,title,used_on_pages,pages
ELG-75-SPEC.PDF,12v Mean Well 75w IP65 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr12v-all.html /products/lighting-perth/led-strip-lights/tr12v-all.html
VHO-020.pdf,12V 20w IP20 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr12v-all.html /products/lighting-perth/led-strip-lights/tr12v-all.html
VHO-200-012B5_specification_1.pdf,12V 200w IP65 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr12v-all.html /products/lighting-perth/led-strip-lights/tr12v-all.html
VUO-075-012M6_specification.pdf,12v 75w IP20 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr12v-all.html /products/lighting-perth/led-strip-lights/tr12v-all.html
Tr12V40W.pdf,12v 40w IP20 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr12v-all.html /products/lighting-perth/led-strip-lights/tr12v-all.html
ELG-240-SPEC.PDF,24V Mean Well IP65 240w Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr24v-all.html /products/lighting-perth/led-strip-lights/tr24v-all.html
ELG-150-SPEC.PDF,24V 150W Mean Well IP65 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr24v-all.html /products/lighting-perth/led-strip-lights/tr24v-all.html
VUF-030_040_-012_24_M4_ENG.pdf,24V 30W IP20 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr24v-all.html /products/lighting-perth/led-strip-lights/tr24v-all.html
VUF-060.pdf,24V 60W IP20 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr24v-all.html /products/lighting-perth/led-strip-lights/tr24v-all.html
VHO-100-012A01_specification.pdf,24V 100w IP67 Transformer Specifications,2,/products/lighting-perth/australian-certified-12v-24v-transformers-greenhouse-technologies/tr24v-all.html /products/lighting-perth/led-strip-lights/tr24v-all.html
Amari-52_Fan_21719_.pdf,AMARI DC FAN BLACK OR WHITE,1,/products/lighting-perth/air-flow/amari-dc-52-fan-bw.html
Dc_Fans_vs_AC_fans_1.pdf,DC / AC Fan Comparison,2,/products/lighting-perth/air-flow/amari-dc-52-fan-bw.html /products/lighting-perth/air-flow/amari-dc-52-fan-light.html
DCWALLCONTROL2.pdf,AMARI DC FAN WALL CONTROLLER,4,/products/lighting-perth/air-flow/amari-dc-52-fan-bw.html /products/lighting-perth/air-flow/amari-dc-52-fan-light.html /products/lighting-perth/air-flow/amari-dc-fan-56-bw.html /products/lighting-perth/air-flow/amari-dc-fan-56-light-bw.html
Amari-52_Fan_and_Light_21721_.pdf,"AMARI 52"" DC FAN",1,/products/lighting-perth/air-flow/amari-dc-52-fan-light.html
Amari_5_blade_no_light_specs.pdf,"AMARI 5-BLADE 56"" CEILING FAN",1,/products/lighting-perth/air-flow/amari-dc-fan-56-bw.html
Amari_5_blade_light_specs_1.pdf,"AMARI 5 BLADE 56"" CEILING FAN WITH CCT LIGHT",1,/products/lighting-perth/air-flow/amari-dc-fan-56-light-bw.html
Solace.pdf,SOLACE 4-IN-1 BATHROOM MATE,1,/products/lighting-perth/air-flow/solace-bathroom-mate.html
Blizzard_SeriesII.pdf,Blizzard DC Bathroom Exhaust Fan,4,/products/lighting-perth/air-flow/blizzard-exhaust-small.html /products/lighting-perth/air-flow/blizzard-exhaust-large.html /products/lighting-perth/air-flow/blizzard-exhaust-cct-small.html /products/lighting-perth/air-flow/blizzard-exhaust-cct-large-1.html
22888_22889_Promax_Exhaust_Fan_OL.pdf,TALON PROMAX EXHAUST FAN,1,/products/lighting-perth/air-flow/talon-promax-no-led.html
19847_slim_heat_lamp.pdf,19847 Slim 2 Heat Lamp Specs,1,/products/lighting-perth/air-flow/horizon-heater-lamps.html
SupernovaII_20748-20749.pdf,Supernova II 2 Heat Lamp Specs,1,/products/lighting-perth/air-flow/supernova-heater.html
T20CCT.pdf,20W CCT LED Batten Specs,2,/products/lighting-perth/led-batten-lights-perth/t20-cct-1.html /products/lighting-perth/commercial-lighting-perth/t20-cct-1.html
T40-CCT_Pro.pdf,40W LED Batten Pro Specs,2,/lighting-perth/led-batten-lights-perth/t40-cct-batten-pro.html /lighting-perth/commercial-lighting-perth/t40-cct-batten-pro.html
30W_Track_lights_4.pdf,30W LED TRACK LIGHT,3,/lighting-perth/led-ceiling-lights-perth/30w-led-track-light.html /lighting-perth/commercial-lighting-perth/30w-led-track-light.html /products/lighting-perth/led-track-lights-perth/30w-led-track-light.html
Modular_Linear_Light.pdf,Linear Modular Lighting System,3,/lighting-perth/led-ceiling-lights-perth/black-linear-modular-light.html /lighting-perth/commercial-lighting-perth/black-linear-modular-light.html /products/lighting-perth/led-track-lights-perth/black-linear-modular-light.html
GH-CCTP_small.pdf,12W CEILING LIGHT CCT,2,/lighting-perth/led-ceiling-lights-perth/gh-c12cct-bw.html /lighting-perth/commercial-lighting-perth/gh-c12cct-bw.html
GH-W8.pdf,8W UP/DOWN WALL LIGHT CCT DIMMABLE,2,/lighting-perth/led-ceiling-lights-perth/wl8-cct-bw-1.html /lighting-perth/commercial-lighting-perth/wl8-cct-bw-1.html
Sasha_Wall_light_1.pdf,Mercator Sasha II Up/Down Wall Light,2,/lighting-perth/led-ceiling-lights-perth/mr10-cct-wall-b.html /lighting-perth/commercial-lighting-perth/mr10-cct-wall-b.html
C25P.pdf,25/18/12W CCT PREMIUM CEILING LIGHT,3,/lighting-perth/led-ceiling-lights-perth/c25-cct-pa.html /lighting-perth/led-ceiling-lights-perth/p30s-cct.html /lighting-perth/commercial-lighting-perth/c25-cct-pa.html
P30S_Ceiling_Light_2.pdf,30w LED Round Ceiling 5-CCT,1,/lighting-perth/led-ceiling-lights-perth/p30s-cct.html
P24SE.pdf,24w Ceiling/Panel Light CCT SE,1,/lighting-perth/led-ceiling-lights-perth/p24se-cct.html
P24Smart.pdf,24W Smart LED Panel Light Specs,2,/products/lighting-perth/led-ceiling-lights-perth/p24-wifi.html /automation/smart-lights-perth/p24-wifi.html
P24_Smart_Instructions.pdf,24W CEILING LIGHT SMART INSTRUCTIONS,2,/products/lighting-perth/led-ceiling-lights-perth/p24-wifi.html /automation/smart-lights-perth/p24-wifi.html
P24_RGB_CCT.pdf,24W SMART WIFI CEILING LIGHT RGB+CCT,2,/lighting-perth/led-ceiling-lights-perth/p24-rgbw-cct.html /automation/smart-lights-perth/p24-rgbw-cct.html
P18SE.pdf,18W Ceiling/Panel Light CCT SE,1,/lighting-perth/led-ceiling-lights-perth/p18se-cct.html
P18E_40K_50K-1.pdf,P18E LED Light Panel Specs,1,/products/lighting-perth/led-ceiling-lights-perth/p18e.html
P6S.pdf,6W Ceiling/Mini Panel Light Specs,1,/products/lighting-perth/led-ceiling-lights-perth/p6s-cct.html
P18CCT_25SQ.pdf,P18 CCT SQ Specs,1,/products/lighting-perth/led-ceiling-lights-perth/p18cct-rnd-sq.html
P36UP_30x120_CCT_1.pdf,36w Low Glare 30x120 CCT Panel Lights,2,/products/lighting-perth/led-ceiling-lights-perth/p36up-30x120-cct.html /products/lighting-perth/commercial-lighting-perth/p36up-30x120-cct.html
P36UP_60x60_CCT.pdf,36w Low Glare 60x60 CCT Panel Lights,2,/lighting-perth/led-ceiling-lights-perth/p36-60x60-cct.html /lighting-perth/commercial-lighting-perth/p36-60x60-cct.html
DL7ES.pdf,7W LED Tricolour Downlight 70-75mm,1,/products/lighting-perth/led-downlights-perth/dl7es-flat.html
DL7A.pdf,DL7A Downlight Specs,2,/products/lighting-perth/led-downlights-perth/dl7a.html /products/lighting-perth/commercial-lighting-perth/dl7a.html
DL9ES-F_1.pdf,8w High Lumen 90mm Tricolour Downlight,1,/products/lighting-perth/led-downlights-perth/dl9es-flat-hl.html
DL8_Architectural_LG.pdf,8w Architecture Low Glare Adjustable Downlight,2,/products/lighting-perth/led-downlights-perth/dl8cct-p-lg.html /products/lighting-perth/commercial-lighting-perth/dl8cct-p-lg.html
DL10ES-F_2.pdf,10W TRI-COLOUR DOWNLIGHT FLAT COVER,2,/products/lighting-perth/led-downlights-perth/dl10es-flat-white-1.html /products/lighting-perth/led-downlights-perth/dl10es-flat-black.html
DL10PS.pdf,DL10PS Specs,1,/products/lighting-perth/led-downlights-perth/dl10-ps.html
DL10PBT.pdf,10w Bluetooth LED Downlight Low Glare,2,/products/lighting-perth/led-downlights-perth/dl10pbt.html /automation/smart-lights-perth/dl10pbt.html
DL10S.pdf,DL10S Specs,1,/products/lighting-perth/led-downlights-perth/dl10s-al.html
DL9_RGBW_BT_1.pdf,9w SMART RGBW DOWNLIGHT BLUETOOTH,3,/products/lighting-perth/led-downlights-perth/dl9rgbw-bt1.html /products/lighting-perth/commercial-lighting-perth/dl9rgbw-bt1.html /automation/smart-lights-perth/dl9rgbw-bt1.html
DL9_RGB_PBT.pdf,9W SMART RGBW LOW GLARE DOWNLIGHT,3,/products/lighting-perth/led-downlights-perth/dl9rgbw-pbt.html /lighting-perth/commercial-lighting-perth/dl9rgbw-pbt.html /automation/smart-lights-perth/dl9rgbw-pbt.html
DL5_7_10gimbal_1.pdf,DL5/7/10G Downlight Specs,4,/products/lighting-perth/led-downlights-perth/dl7g-ip65-black-1.html /products/lighting-perth/led-downlights-perth/dl10gs-ip65.html /lighting-perth/commercial-lighting-perth/dl10gs-ip65.html /lighting-perth/commercial-lighting-perth/dl7g-ip65-black-1.html
Gimbal_downlight.pdf,Gimbal Light Installation Instructions,2,/products/lighting-perth/led-downlights-perth/dl10gs-ip65.html /lighting-perth/commercial-lighting-perth/dl10gs-ip65.html
DL13ESF.pdf,DL13ES Downlight Specs,1,/products/lighting-perth/led-downlights-perth/dl13es.html
DL15_12-120.pdf,15W/12W CCT POWER ADJUSTABLE DOWNLIGHT,2,/products/lighting-perth/led-downlights-perth/dl15-12-cct-pa.html /lighting-perth/commercial-lighting-perth/dl15-12-cct-pa.html
DL25_20-140.pdf,25W/20W CCT POWER ADJUSTABLE DOWNLIGHT (140mm),2,/products/lighting-perth/led-downlights-perth/dl25-20-140-cct-pa.html /lighting-perth/commercial-lighting-perth/dl25-20-140-cct-pa.html
DL25_20-160.pdf,25W/20W CCT POWER ADJUSTABLE DOWNLIGHT (160mm),2,/products/lighting-perth/led-downlights-perth/dl25-20-160-cct-pa.html /lighting-perth/commercial-lighting-perth/dl25-20-160-cct-pa.html
DL25_Smart_1.pdf,25W SMART WIFI DOWNLIGHT,3,/products/lighting-perth/led-downlights-perth/25w-smart-led-tuya-downlight.html /lighting-perth/commercial-lighting-perth/25w-smart-led-tuya-downlight.html /automation/smart-lights-perth/25w-smart-led-tuya-downlight.html
DL35_28-200.pdf,35W/28W CCT POWER ADJUSTABLE CCT DOWNLIGHT,2,/products/lighting-perth/led-downlights-perth/dl35-28-200-cct-pa.html /lighting-perth/commercial-lighting-perth/dl35-28-200-cct-pa.html
